,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
reduction target,reduction target,  reduction,reduction  ,emission reduction,carbon reduction,  reduce,reduce emission,reduce energy,carbon management,reduce carbon,emission  ,  emission,  target,target  ,low carbon,carbon neutrality,carbon neutral,carbon footprint,carbon emission,net zero,ghg emission,zero emission,carbon budget,  increase,energy use,energy efficiency,  carbon,action plan,gas emission,greenhouse gas,zero carbon,change strategy,management plan,emergency action,strategy action,sustainable development,  scope,scope  ,carbon dioxide,achieve net,renewable energy,emission council,change action,zero  ,strategy  ,appendix  ,climate action,change climate,action  ,  action,energy efficient,impact climate,fossil fuel,section  ,climate change,fuel poverty,figure  ,long term,  energy,energy  ,climate emergency,global warming,change  ,tackle climate,  support,land use,natural environment,plan  ,active travel,local plan,council carbon,transport  ,air quality,council climate,   ,  work,public sector,  tonne,  climate,electric vehicle,declare climate,green space,page  ,work partner,   xc,xc  ,  xc,building  ,  year,year  ,local authority,public transport,district council,march  ,council building,borough council,  council,council  ,county council,city council
renewable energy,renewable energy,fossil fuel,energy efficiency,carbon management,energy use,energy efficient,carbon emission,greenhouse gas,carbon neutral,carbon dioxide,carbon neutrality,low carbon,zero carbon,carbon reduction,carbon footprint,gas emission,emission reduction,  carbon,sustainable development,electric vehicle,energy  ,  energy,natural environment,climate action,carbon budget,fuel poverty,ghg emission,reduce carbon,  emission,emission  ,zero emission,climate change,reduce energy,global warming,reduce emission,climate emergency,green space,change climate,impact climate,emission council,public sector,air quality,land use,  climate,reduction target,council climate,net zero,council carbon,active travel,tackle climate,transport  ,long term,public transport,  reduction,reduction  ,zero  ,  tonne,achieve net,management plan,emergency action,declare climate,building  ,   ,  increase,appendix  ,local plan,action plan,  work,local authority,target  ,  target,   xc,  xc,xc  ,strategy  ,scope  ,  scope,  support,change  ,strategy action,change strategy,figure  ,  reduce,work partner,borough council,  action,action  ,plan  ,council building,change action,city council,county council,district council,section  ,year  ,  year,page  ,council  ,  council,march  
scope  ,scope  ,  scope,  target,target  ,figure  ,net zero,achieve net,action plan,management plan,section  ,   ,long term,action  ,  action,reduction target,zero  ,  energy,energy  ,appendix  ,emergency action,plan  ,strategy action,strategy  ,  reduce,  support,  reduction,reduction  ,zero emission,page  ,  increase,energy use,transport  ,  emission,emission  ,  tonne,local authority,emission council,land use,green space,change strategy,change action,local plan,reduce energy,   xc,xc  ,  xc,carbon neutrality,ghg emission,council carbon,  carbon,energy efficient,zero carbon,energy efficiency,  work,public sector,council  ,  council,natural environment,air quality,carbon management,active travel,change  ,carbon budget,low carbon,reduce emission,district council,carbon neutral,council building,gas emission,declare climate,electric vehicle,march  ,carbon footprint,council climate,greenhouse gas,emission reduction,public transport,carbon dioxide,reduce carbon,building  ,fuel poverty,carbon emission,renewable energy,sustainable development,tackle climate,carbon reduction,borough council,fossil fuel,work partner,climate emergency,impact climate,  climate,change climate,city council,global warming,county council,climate action,climate change,year  ,  year
section  ,section  ,appendix  ,page  ,management plan,action plan,district council,figure  ,  scope,scope  ,   ,local authority,  reduction,reduction  ,  xc,   xc,xc  ,  tonne,reduction target,local plan,zero  ,net zero,council carbon,emergency action,  council,council  ,  target,target  ,council building,emission council,plan  ,  action,action  ,borough council,public sector,  work,  support,  carbon,building  ,work partner,green space,  reduce,  increase,county council,change  ,transport  ,  emission,emission  ,city council,year  ,  year,march  ,land use,zero carbon,electric vehicle,carbon budget,strategy action,long term,council climate,carbon management,zero emission,strategy  ,energy use,energy  ,  energy,low carbon,carbon neutrality,change action,carbon neutral,carbon footprint,public transport,fuel poverty,gas emission,greenhouse gas,carbon reduction,change strategy,emission reduction,active travel,ghg emission,carbon dioxide,natural environment,carbon emission,reduce energy,fossil fuel,achieve net,air quality,energy efficiency,energy efficient,sustainable development,reduce carbon,climate emergency,reduce emission,renewable energy,global warming,change climate,climate change,  climate,climate action,declare climate,tackle climate,impact climate
strategy  ,strategy  ,strategy action,action plan,action  ,  action,plan  ,management plan,change strategy,target  ,  target,emergency action,long term,land use,local plan,  support,   ,reduction target,  scope,scope  ,energy use,active travel,  work,energy  ,  energy,sustainable development,figure  ,  reduction,reduction  ,energy efficiency,change action,transport  ,energy efficient,fuel poverty,net zero,achieve net,carbon budget,public sector,council climate,building  ,change  ,zero  ,work partner,  emission,emission  ,emission council,appendix  ,carbon management,electric vehicle,public transport,  tonne,council  ,  council,natural environment,march  ,emission reduction,council carbon,renewable energy,zero emission,gas emission,local authority,section  ,greenhouse gas,fossil fuel,carbon neutrality,district council,carbon footprint,  increase,  reduce,page  ,climate action,xc  ,   xc,  xc,air quality,council building,  carbon,year  ,  year,green space,reduce energy,  climate,change climate,climate emergency,climate change,city council,borough council,carbon reduction,global warming,carbon neutral,low carbon,zero carbon,county council,tackle climate,ghg emission,carbon emission,carbon dioxide,declare climate,reduce emission,impact climate,reduce carbon
strategy action,strategy action,strategy  ,action plan,  action,action  ,change strategy,plan  ,management plan,emergency action,target  ,  target,change action,reduction target,local plan,  support,land use,long term,active travel,scope  ,  scope,energy use,  reduction,reduction  ,sustainable development,figure  ,  work,achieve net,transport  ,  energy,energy  ,energy efficiency,   ,council climate,energy efficient,change  ,carbon budget,public sector,march  ,fuel poverty,net zero,emission council,  emission,emission  ,carbon management,appendix  ,  reduce,reduce energy,work partner,  increase,climate action,emission reduction,building  ,local authority,section  ,  council,council  ,council carbon,zero  ,public transport,change climate,gas emission,natural environment,electric vehicle,district council,climate change,tackle climate,climate emergency,carbon footprint,greenhouse gas,  tonne,carbon reduction,carbon neutrality,renewable energy,global warming,zero emission,page  ,air quality,council building,  climate,reduce emission,declare climate,xc  ,   xc,  xc,impact climate,fossil fuel,  carbon,ghg emission,  year,year  ,borough council,city council,carbon neutral,carbon emission,reduce carbon,low carbon,county council,green space,carbon dioxide,zero carbon
sustainable development,sustainable development,energy efficiency,renewable energy,carbon management,global warming,climate change,carbon footprint,energy efficient,natural environment,carbon budget,carbon reduction,energy use,fuel poverty,climate action,change climate,land use,public sector,carbon neutrality,greenhouse gas,emission reduction,low carbon,fossil fuel,reduction target,carbon neutral,reduce carbon,impact climate,long term,carbon emission,management plan,zero carbon,carbon dioxide,  carbon,  reduction,reduction  ,reduce energy,action plan,local plan,ghg emission,  energy,energy  ,tackle climate,strategy  ,strategy action,council climate,change strategy,climate emergency,active travel,  climate,achieve net,reduce emission,green space,  increase,building  ,gas emission,emission  ,  emission,council carbon,change  ,zero emission,net zero,  work,emission council,  support,air quality,electric vehicle,emergency action,transport  ,change action,public transport,  action,action  ,plan  ,local authority,declare climate,  reduce,   ,zero  ,scope  ,  scope,work partner,district council,target  ,  target,city council,council building,borough council,figure  ,appendix  ,county council,  tonne,section  ,  xc,   xc,xc  ,year  ,  year,  council,council  ,page  ,march  
tackle climate,tackle climate,declare climate,impact climate,change climate,climate action,reduce carbon,reduce energy,reduce emission,climate change,  climate,climate emergency,  reduce,global warming,change strategy,change action,council climate,carbon reduction,carbon management,natural environment,emission reduction,greenhouse gas,carbon neutrality,carbon dioxide,ghg emission,change  ,carbon footprint,sustainable development,carbon neutral,carbon emission,air quality,reduction target,energy efficiency,low carbon,achieve net,renewable energy,energy efficient,  increase,energy use,zero carbon,reduction  ,  reduction,  emission,emission  ,emergency action,carbon budget,gas emission,  carbon,plan  ,fossil fuel,zero emission,action plan,fuel poverty,emission council,  scope,scope  ,long term,  action,action  ,strategy action,active travel,transport  ,  energy,energy  ,march  ,council carbon,local plan,management plan,land use,  target,target  ,green space,  work,strategy  ,  support,electric vehicle,figure  ,public sector,net zero,building  ,appendix  ,   ,  year,year  ,public transport,  tonne,council building,zero  ,  xc,xc  ,   xc,page  ,section  ,  council,council  ,local authority,city council,borough council,work partner,district council,county council
target  ,  target,target  ,  scope,scope  ,reduction target,action plan,strategy  ,figure  ,strategy action,net zero,  action,action  ,plan  ,   ,  emission,emission  ,management plan,reduction  ,  reduction,achieve net,zero  ,appendix  ,emergency action,change strategy,  carbon,  energy,energy  ,  reduce,section  ,emission council,zero emission,page  ,change action,carbon footprint,greenhouse gas,energy use,   xc,xc  ,  xc,gas emission,transport  ,  support,emission reduction,long term,work partner,carbon neutral,carbon neutrality,zero carbon,carbon management,  work,reduce energy,low carbon,local plan,carbon budget,land use,green space,change  ,carbon emission,reduce emission,council carbon,  tonne,fossil fuel,carbon reduction,energy efficient,energy efficiency,ghg emission,carbon dioxide,fuel poverty,active travel,  increase,electric vehicle,reduce carbon,public sector,building  ,local authority,air quality,natural environment,march  ,district council,renewable energy,council climate,  council,council  ,sustainable development,  year,year  ,climate emergency,council building,change climate,declare climate,global warming,public transport,climate action,  climate,borough council,climate change,impact climate,tackle climate,city council,county council
transport  ,transport  ,public transport,active travel,electric vehicle,energy use,energy  ,  energy,emergency action,  support,energy efficient,land use,fuel poverty,air quality,action  ,  action,management plan,  emission,emission  ,energy efficiency,public sector,emission council,gas emission,  scope,scope  ,ghg emission,reduce energy,carbon management,carbon budget,strategy  ,  tonne,strategy action,  work,building  ,local authority,carbon dioxide,action plan,target  ,  target,renewable energy,emission reduction,figure  ,reduction  ,  reduction,fossil fuel,   ,appendix  ,reduction target,  carbon,carbon neutrality,council climate,green space,greenhouse gas,long term,natural environment,zero emission,  climate,achieve net,carbon emission,low carbon,reduce emission,carbon neutral,climate emergency,net zero,march  ,sustainable development,section  ,local plan,zero carbon,council carbon,carbon reduction,  reduce,council building,plan  ,reduce carbon,zero  ,change strategy,climate action,work partner,carbon footprint,page  ,change action,borough council,change  ,  increase,district council,change climate,  xc,xc  ,   xc,global warming,impact climate,  council,council  ,tackle climate,city council,climate change,declare climate,county council,year  ,  year
work partner,work partner,  work,  support,management plan,action plan,public sector,local authority,   ,target  ,  target,section  ,figure  ,strategy  ,district council,  council,council  ,council carbon,city council,strategy action,energy use,emission council,carbon budget,borough council,building  ,energy efficient,action  ,  action,energy efficiency,xc  ,  xc,   xc,transport  ,reduction target,fuel poverty,net zero,council building,sustainable development,local plan,  tonne,plan  ,page  ,land use,electric vehicle,zero  ,  carbon,carbon management,  energy,energy  ,county council,year  ,  year,carbon neutrality,appendix  ,long term,scope  ,  scope,emergency action,fossil fuel,carbon footprint,achieve net,renewable energy,carbon neutral,change strategy,reduction  ,  reduction,council climate,zero carbon,greenhouse gas,public transport,active travel,carbon dioxide,emission reduction,march  ,carbon emission,emission  ,  emission,natural environment,carbon reduction,low carbon,change  ,zero emission,green space,reduce energy,change action,gas emission,  reduce,reduce carbon,air quality,ghg emission,climate emergency,global warming,reduce emission,climate change,climate action,  increase,change climate,  climate,impact climate,tackle climate,declare climate
xc  ,xc  ,   xc,  xc,   ,  tonne,zero  ,net zero,council carbon,page  ,  carbon,emission council,appendix  ,section  ,year  ,  year,zero carbon,action plan,green space,local authority,  target,target  ,  council,council  ,electric vehicle,figure  ,zero emission,  emission,emission  ,greenhouse gas,carbon dioxide,council building,scope  ,  scope,carbon neutral,energy  ,  energy,ghg emission,carbon neutrality,district council,management plan,borough council,gas emission,low carbon,carbon emission,council climate,emergency action,county council,fossil fuel,public sector,energy efficient,carbon management,carbon budget,plan  ,energy use,carbon footprint,city council,energy efficiency,air quality,work partner,long term,achieve net,local plan,climate emergency,change  ,emission reduction,reduction target,renewable energy,fuel poverty,building  ,natural environment,transport  ,reduction  ,  reduction,public transport,strategy  ,  action,action  ,  increase,carbon reduction,  work,  climate,  support,march  ,climate change,land use,global warming,active travel,strategy action,change climate,reduce carbon,sustainable development,  reduce,change strategy,reduce energy,change action,climate action,declare climate,reduce emission,impact climate,tackle climate
year  ,  year,year  ,   ,xc  ,   xc,  xc,change  ,  tonne,page  ,action plan,  climate,long term,figure  ,change climate,management plan,section  ,natural environment,climate emergency,zero  ,climate change,march  ,carbon budget,council climate,  carbon,carbon footprint,change strategy,appendix  ,land use,emergency action,local authority,plan  ,  target,target  ,strategy  ,work partner,global warming,  work,  increase,net zero,council carbon,  reduction,reduction  ,greenhouse gas,energy use,district council,building  ,green space,emission council,local plan,reduction target,action  ,  action,energy efficiency,carbon management,energy  ,  energy,air quality,public sector,  council,council  ,carbon dioxide,strategy action,carbon reduction,carbon neutral,fuel poverty,change action,climate action,impact climate,energy efficient,low carbon,emission  ,  emission,zero carbon,declare climate,ghg emission,sustainable development,carbon emission,carbon neutrality,scope  ,  scope,council building,emission reduction,city council,borough council,county council,fossil fuel,electric vehicle,renewable energy,  support,gas emission,zero emission,reduce carbon,tackle climate,  reduce,transport  ,active travel,public transport,reduce energy,achieve net,reduce emission
zero  ,zero  ,net zero,zero emission,zero carbon,   ,   xc,xc  ,  xc,reduction  ,  reduction,green space,  emission,emission  ,  tonne,  carbon,low carbon,  energy,energy  ,  scope,scope  ,figure  ,carbon neutrality,reduction target,  target,target  ,carbon neutral,emission council,gas emission,appendix  ,section  ,carbon dioxide,energy efficiency,emission reduction,page  ,greenhouse gas,electric vehicle,energy efficient,achieve net,air quality,fuel poverty,emergency action,ghg emission,carbon budget,council carbon,carbon emission,  support,long term,energy use,carbon footprint,  increase,action plan,management plan,renewable energy,strategy  ,local authority,carbon management,public sector,action  ,  action,carbon reduction,  work,fossil fuel,council  ,  council,district council,natural environment,land use,public transport,transport  ,borough council,  reduce,climate emergency,year  ,  year,change  ,sustainable development,council climate,plan  ,  climate,city council,active travel,building  ,strategy action,council building,local plan,county council,reduce emission,work partner,reduce energy,march  ,reduce carbon,global warming,climate change,climate action,declare climate,change climate,change strategy,change action,impact climate,tackle climate
zero carbon,zero carbon,carbon neutral,low carbon,carbon neutrality,  carbon,carbon dioxide,carbon emission,greenhouse gas,zero emission,carbon reduction,carbon management,fossil fuel,carbon footprint,gas emission,emission reduction,renewable energy,ghg emission,reduce carbon,emission  ,  emission,net zero,zero  ,energy efficiency,reduce emission,emission council,carbon budget,fuel poverty,energy use,energy efficient,council carbon,green space,climate action,electric vehicle,natural environment,reduction target,climate emergency,energy  ,  energy,air quality,climate change,reduce energy,global warming,  climate,council climate,  reduction,reduction  ,sustainable development,impact climate,change climate,  tonne,xc  ,   xc,  xc,appendix  ,declare climate,   ,public sector,achieve net,target  ,  target,scope  ,  scope,tackle climate,emergency action,long term,land use,transport  ,  reduce,figure  ,section  ,active travel,  increase,public transport,management plan,action plan,local authority,  support,borough council,page  ,  work,change  ,local plan,building  ,council building,district council,work partner,strategy  ,  council,council  ,action  ,  action,year  ,  year,plan  ,city council,change strategy,county council,strategy action,change action,march  
zero emission,zero emission,  emission,emission  ,zero carbon,gas emission,emission reduction,carbon emission,zero  ,carbon neutrality,low carbon,net zero,greenhouse gas,carbon dioxide,carbon neutral,ghg emission,emission council,reduce emission,  carbon,carbon reduction,renewable energy,energy efficiency,carbon management,electric vehicle,reduction target,air quality,fossil fuel,energy  ,  energy,energy use,energy efficient,  reduction,reduction  ,climate emergency,carbon footprint,climate action,reduce carbon,fuel poverty,reduce energy,green space,carbon budget,emergency action,scope  ,  scope,council climate,council carbon,  climate,natural environment,achieve net,climate change,target  ,  target,global warming,active travel,   ,impact climate,change climate,  tonne,xc  ,   xc,  xc,declare climate,sustainable development,public sector,transport  ,  reduce,  increase,long term,public transport,appendix  ,figure  ,  support,tackle climate,action  ,  action,action plan,management plan,section  ,strategy  ,local authority,strategy action,change  ,land use,  work,borough council,page  ,local plan,change strategy,change action,  council,council  ,city council,plan  ,district council,building  ,council building,county council,work partner,march  ,  year,year  
